DGU-8681,FORD,KÁ,PRETO,OURINHOS,SP
EFX-6754,FIAT,PALIO,BRANCO,SANTA CRUZ DO RIO PARDO,SP
ELK-6501,FIAT,UNO,VERDE,JACAREZINHO,PR
ELM-7693,RENAULT,SANDERO,PRATA,CURITIBA,PR
YRT-8732,RENAULT,CLIO,BRANCO,LONDRINA,PR
EWQ-4342,FIAT,UNO,VERDE,CASCAVEL,PR
TRE-6521,RENAULT,CLIO,AMARELO,IBAITI,PR
DBA-9871,FORD,FOCUS,PRETO,BELO HORIZONTE,SC
ODB-2983,FORD,FUSION,VERMELHO,MATINHO,PR
WSO-2991,FORD,FIESTA,PRATA,BATATAIS,SP
TTR-7635,VOLKSWAGEN,PASSAT,AZUL,PEDERENEIRAS,SP
ALE-8924,VOLKSWAGEN,GOL,VERMELHO,BAURU,SP
LEF-5654,MERCEDEZ,CL 500,PRATA,SÃO PAULO,SP
UIY-6201,HYUNDAI,I30,PRETO,CURITIBA,PR
XLW-9843,HYUNDAI,HB20,CINZA,RIBEIRÃO PRETO,SP
RGA-9802,HONDA,TITAN,VERMELHO,CURITIBA,PR
BNC-8720,LIFAN,X60,PREO,CAMBARÁ,PR
GTA-5509,LIFAN,530,AZUL,ANDIRÁ,PR
